Salary,Year,Age,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
7157894.736842105,1994.0526315789473,30.05263157894737,0.15789473684210525,0.10526315789473684,533.1052631578947,77.3157894736842,58.05263157894737,29.57894736842105,79.36842105263158,135.8421052631579,13.763157894736842,0.4872631578947368,0.13957894736842108,234.05263157894737,0.7048421052631578,680.421052631579,0.2631578947368421
1000000.0,1991.0,23.0,0.0,0.0,147.0,177.0,25.0,15.0,114.0,127.0,10.6,0.439,0.09699999999999999,157.0,0.7070000000000001,616.0,0.0
885714.2857142857,2013.0,26.0,0.0,0.42857142857142855,52.42857142857143,79.14285714285714,17.714285714285715,1.2857142857142858,31.714285714285715,33.142857142857146,10.257142857142858,0.3445714285714286,0.23571428571428574,39.57142857142857,0.6272857142857143,211.28571428571428,0.42857142857142855
2192857.1428571427,2012.0,27.0,0.0,0.0,79.28571428571429,147.57142857142858,27.428571428571427,6.0,75.5,87.5,12.735714285714286,0.3993571428571429,0.35078571428571426,86.78571428571429,0.7947857142857142,475.0,0.0
700000.0,2015.0,19.0,0.0,0.0,169.0,33.0,21.0,22.0,38.0,83.0,11.4,0.447,0.271,61.0,0.721,243.0,0.0
911111.1111111111,2011.2222222222222,26.22222222222222,0.0,0.0,132.22222222222223,23.0,10.444444444444445,9.666666666666666,29.444444444444443,75.33333333333333,10.61111111111111,0.5156666666666667,0.0,36.77777777777778,0.544,118.44444444444444,0.0
1950000.0,1978.5,25.5,0.0,0.0,334.5,95.0,32.0,21.5,120.5,228.0,13.0,0.49550000000000005,0.0,148.5,0.7475,850.0,0.0
5223529.411764706,1999.1176470588234,26.11764705882353,0.0,0.058823529411764705,176.52941176470588,143.41176470588235,63.588235294117645,11.705882352941176,71.47058823529412,109.47058823529412,11.905882352941177,0.4171176470588234,0.31794117647058817,81.58823529411765,0.7778235294117648,388.6470588235294,0.058823529411764705
1981818.1818181819,2001.1818181818182,29.181818181818183,0.0,0.18181818181818182,232.9090909090909,41.81818181818182,23.272727272727273,45.09090909090909,55.18181818181818,142.0,14.236363636363633,0.511090909090909,0.03027272727272727,113.45454545454545,0.669,352.27272727272725,0.18181818181818182
1500000.0,1980.5,25.5,0.0,0.0,250.0,80.0,42.0,35.5,102.0,139.0,17.1,0.4675,0.0,212.0,0.8015000000000001,645.0,0.0
1000000.0,2010.4,25.4,0.0,0.0,16.0,22.0,8.6,0.2,12.0,15.4,11.180000000000001,0.4096,0.17319999999999997,22.6,0.7514000000000001,65.6,0.0
4200000.0,1996.5,25.5,0.0,0.25,293.375,48.875,34.875,19.125,63.125,126.5,12.5625,0.495125,0.0,143.75,0.7250000000000001,367.375,0.25
700000.0,2007.0,22.0,0.0,0.0,230.0,163.0,28.0,6.0,130.0,179.0,7.9,0.376,0.337,169.0,0.71,917.0,0.0
1775000.0,2004.4166666666667,28.416666666666668,0.0,0.16666666666666666,273.0833333333333,27.5,20.916666666666668,95.08333333333333,45.583333333333336,123.41666666666667,11.591666666666667,0.4546666666666667,0.0,53.75,0.4585000000000001,235.33333333333334,0.16666666666666666
750000.0,1988.0,24.0,0.5,0.0,92.5,38.0,30.5,3.0,44.0,69.0,17.25,0.4815,0.113,87.0,0.7515000000000001,318.0,0.5
14415789.47368421,1983.842105263158,26.842105263157894,0.21052631578947367,0.05263157894736842,304.8421052631579,163.21052631578948,53.10526315789474,9.052631578947368,152.0,144.52631578947367,20.852631578947364,0.5250526315789474,0.05931578947368421,473.2105263157895,0.8136842105263158,1297.5263157894738,0.2631578947368421
6550000.0,2003.8333333333333,28.833333333333332,0.0,0.16666666666666666,224.5,98.16666666666667,65.66666666666667,8.333333333333334,48.166666666666664,131.66666666666666,11.883333333333333,0.44483333333333336,0.17483333333333337,59.166666666666664,0.7911666666666667,291.6666666666667,0.16666666666666666
600000.0,1978.0,25.0,0.0,0.0,102.0,26.0,13.0,4.0,23.0,64.0,10.0,0.444,0.0,61.0,0.672,183.0,0.0
4080000.0,2007.0,26.0,0.0,0.05,318.35,94.25,50.15,14.45,107.5,176.05,13.605,0.43450000000000005,0.3418,177.4,0.70685,794.75,0.05
13825000.0,2011.5,24.5,0.0,0.0,568.5,165.75,51.75,72.0,101.0,154.5,19.25,0.541625,0.33375,167.375,0.732875,879.875,0.0
7672727.2727272725,2010.0,25.0,0.0,0.0,633.4545454545455,108.18181818181819,51.18181818181818,92.0909090909091,102.0909090909091,185.36363636363637,20.327272727272728,0.5007272727272728,0.08800000000000001,236.45454545454547,0.7038181818181818,1181.2727272727273,0.0
1125000.0,1978.5,25.5,0.0,0.0,77.5,58.75,26.25,5.75,58.25,89.0,11.875,0.4295,0.0,79.25,0.8455,221.75,0.0
1075000.0,2009.875,25.875,0.0,0.0,190.875,55.375,28.75,23.375,65.75,122.125,11.975,0.46475,0.2705,145.625,0.7441249999999999,541.375,0.0
2000000.0,1984.142857142857,25.142857142857142,0.0,0.0,180.28571428571428,106.0,44.285714285714285,22.714285714285715,81.28571428571429,134.85714285714286,13.22857142857143,0.447,0.17671428571428574,163.28571428571428,0.7787142857142857,700.2857142857143,0.0
3920000.0,2013.0,22.0,0.0,0.0,399.6,80.4,72.4,42.0,90.6,138.8,12.299999999999999,0.4332,0.26959999999999995,125.0,0.7280000000000001,479.0,0.0
