Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
600000,1988,Wes Matthews,PG,28,Los Angeles Lakers,1.0,0.0,66.0,138,25.0,3.0,69.0,65,12.4,0.46,0.233,65,0.831,289,1.0
800000,1988,Uwe Blab,C,25,Dallas Mavericks,0.0,0.0,134.0,35,8.0,29.0,49.0,108,7.4,0.439,0.0,65,0.708,162,0.0
700000,1988,Mike Evans,PG,32,Denver Nuggets,0.0,0.0,48.0,81,34.0,6.0,43.0,78,13.7,0.45299999999999996,0.396,37,0.8109999999999999,344,0.0
1300000,1988,Darren Daye,SF,27,Boston Celtics,0.0,0.0,76.0,71,29.0,4.0,44.0,68,13.6,0.516,0.0,87,0.6779999999999999,283,0.0
600000,1988,Bernard Thompson,SF,25,Phoenix Suns,0.0,0.0,76.0,51,21.0,1.0,21.0,75,11.0,0.465,0.0,60,0.7170000000000001,191,0.0
700000,1988,Andrew Toney,SG,30,Philadelphia 76ers,0.0,0.0,47.0,108,11.0,6.0,50.0,35,13.2,0.42100000000000004,0.33299999999999996,72,0.8059999999999999,211,0.0
600000,1988,Artis Gilmore,C,38,Boston Celtics,0.0,0.0,148.0,12,10.0,18.0,39.0,94,10.2,0.574,0.0,91,0.527,164,0.0
700000,1988,Pace Mannion,SF,27,Milwaukee Bucks,0.0,0.0,51.0,55,13.0,7.0,24.0,53,8.0,0.40700000000000003,0.16699999999999998,37,0.6759999999999999,123,0.0
6700000,1988,Carey Scurry,SF,25,New York Knicks,0.0,0.0,3.0,1,2.0,1.0,2.0,3,14.8,0.5,0.0,0,0.0,2,0.0
1000000,1988,Ricky Wilson,PG,23,San Antonio Spurs,0.0,0.0,26.0,63,17.0,3.0,21.0,34,9.1,0.364,0.36,29,0.7929999999999999,104,0.0
700000,1988,Jerry Sichting,PG,31,Portland Trail Blazers,0.0,0.0,15.0,33,7.0,0.0,8.0,30,11.1,0.544,0.5710000000000001,11,0.818,115,0.0
800000,1988,Eric White,SF,22,Los Angeles Clippers,0.0,0.0,62.0,9,7.0,3.0,21.0,32,15.2,0.532,1.0,57,0.789,178,0.0
600000,1988,Chris McNealy,PF,26,New York Knicks,0.0,0.0,64.0,23,16.0,2.0,17.0,50,7.7,0.311,0.0,31,0.677,67,0.0
600000,1988,Conner Henry,SG,24,Sacramento Kings,0.0,0.0,20.0,26,7.0,3.0,16.0,15,17.8,0.469,0.484,30,0.867,117,0.0
900000,1988,Ray Tolbert,PF,29,Los Angeles Lakers,1.0,0.0,20.0,5,3.0,3.0,11.0,14,15.1,0.5710000000000001,0.0,13,0.769,42,1.0
900000,1988,Duane Washington,SG,23,New Jersey Nets,0.0,0.0,22.0,34,12.0,0.0,9.0,23,16.1,0.429,0.5,20,0.8,54,0.0
600000,1989,Robert Reid,SF,33,Charlotte Hornets,0.0,0.0,302.0,153,53.0,20.0,106.0,235,12.2,0.428,0.327,196,0.7759999999999999,1207,0.0
2600000,1989,Earl Cureton,C,31,Charlotte Hornets,0.0,0.0,488.0,130,50.0,61.0,114.0,230,10.1,0.501,0.0,123,0.537,532,0.0
2600000,1989,Elston Turner,SF,29,Denver Nuggets,0.0,0.0,287.0,144,90.0,8.0,60.0,209,7.8,0.428,0.28600000000000003,56,0.589,337,0.0
700000,1989,Quintin Dailey,SG,28,Los Angeles Clippers,0.0,0.0,204.0,154,90.0,6.0,122.0,152,16.3,0.465,0.111,286,0.759,1114,0.0
600000,1989,Mike Holton,PG,27,Charlotte Hornets,0.0,0.0,105.0,424,66.0,12.0,119.0,165,12.3,0.42700000000000005,0.214,143,0.8390000000000001,553,0.0
2200000,1989,Kareem Abdul-Jabbar,C,41,Los Angeles Lakers,0.0,1.0,334.0,74,38.0,85.0,95.0,196,12.9,0.475,0.0,165,0.7390000000000001,748,1.0
700000,1989,Dave Corzine,C,32,Chicago Bulls,0.0,0.0,315.0,103,29.0,45.0,93.0,134,10.8,0.461,0.25,96,0.74,479,0.0
700000,1989,Dave Hoppen,C,24,Charlotte Hornets,0.0,0.0,384.0,57,25.0,21.0,77.0,239,11.8,0.564,0.5,139,0.727,500,0.0
1200000,1989,Ricky Berry,SG,24,Sacramento Kings,0.0,0.0,197.0,80,37.0,22.0,82.0,197,13.1,0.45,0.406,166,0.789,706,0.0
700000,1989,Sylvester Gray,SF,21,Miami Heat,0.0,0.0,286.0,117,36.0,25.0,102.0,144,11.2,0.42,0.25,156,0.6729999999999999,440,0.0
700000,1989,Dallas Comegys,PF,24,San Antonio Spurs,0.0,0.0,234.0,30,42.0,63.0,85.0,160,11.9,0.48700000000000004,0.0,161,0.6579999999999999,438,0.0
800000,1989,Ralph Sampson,C,28,Golden State Warriors,0.0,0.0,307.0,77,31.0,65.0,90.0,170,11.4,0.449,0.375,95,0.653,393,0.0
600000,1989,Pearl Washington,PG,25,Miami Heat,0.0,0.0,123.0,226,73.0,4.0,122.0,101,13.0,0.424,0.071,104,0.7879999999999999,411,0.0
700000,1989,Terry Tyler,SF,32,Dallas Mavericks,0.0,0.0,209.0,40,24.0,39.0,51.0,90,12.3,0.469,0.111,62,0.758,386,0.0
700000,1989,Chris Welp,C,25,Philadelphia 76ers,0.0,0.0,193.0,29,23.0,41.0,42.0,176,8.7,0.446,0.0,73,0.6579999999999999,246,0.0
600000,1989,Adrian Branch,SF,25,Portland Trail Blazers,0.0,0.0,132.0,60,45.0,3.0,64.0,99,15.7,0.46299999999999997,0.226,120,0.725,498,0.0
3200000,1989,Walter Berry,PF,24,Houston Rockets,0.0,0.0,152.0,57,19.0,35.0,49.0,114,14.4,0.541,0.5,80,0.713,350,0.0
900000,1989,Marc Iavaroni,PF,32,Utah Jazz,0.0,0.0,132.0,32,11.0,13.0,52.0,99,5.3,0.442,0.0,44,0.818,180,0.0
600000,1989,Russ Schoene,PF,28,Seattle Supersonics,0.0,0.0,165.0,36,37.0,24.0,48.0,136,12.1,0.387,0.382,57,0.807,358,0.0
700000,1989,Darwin Cook,SG,30,Denver Nuggets,0.0,0.0,48.0,43,28.0,6.0,26.0,44,11.7,0.436,0.2,22,0.773,161,0.0
700000,1989,Michael Anderson,PG,22,San Antonio Spurs,0.0,0.0,89.0,153,44.0,3.0,84.0,64,10.5,0.41700000000000004,0.14300000000000002,82,0.695,204,0.0
700000,1989,Randy Wittman,SF,29,Indiana Pacers,0.0,0.0,54.0,79,13.0,2.0,20.0,31,9.0,0.473,0.5,19,0.632,173,0.0
700000,1989,Paul Mokeski,C,32,Milwaukee Bucks,0.0,0.0,187.0,36,29.0,21.0,35.0,153,8.2,0.36,0.26899999999999996,51,0.784,165,0.0
800000,1989,Shelton Jones,SF,22,Philadelphia 76ers,0.0,0.0,95.0,33,16.0,13.0,39.0,50,10.6,0.45299999999999996,0.0,67,0.746,212,0.0
700000,1989,Brian Rowsom,PF,23,Charlotte Hornets,0.0,0.0,137.0,24,10.0,12.0,18.0,69,15.7,0.494,1.0,81,0.802,226,0.0
2300000,1989,Cliff Robinson,SF,28,Philadelphia 76ers,0.0,0.0,75.0,32,17.0,2.0,34.0,37,14.1,0.48100000000000004,0.0,44,0.727,212,0.0
900000,1989,Dudley Bradley,SG,31,Atlanta Hawks,0.0,0.0,32.0,24,16.0,2.0,14.0,41,6.1,0.326,0.258,16,0.5,72,0.0
900000,1989,Brook Steppe,PG,29,Portland Trail Blazers,0.0,0.0,32.0,16,11.0,1.0,13.0,32,12.0,0.423,0.556,37,0.865,103,0.0
700000,1989,Clinton Wheeler,PG,29,Portland Trail Blazers,0.0,0.0,19.0,33,19.0,0.0,18.0,17,10.3,0.467,0.0,10,0.7,49,0.0
1000000,1989,Phil Hubbard,SF,32,Cleveland Cavaliers,0.0,0.0,40.0,11,6.0,0.0,9.0,20,11.7,0.444,0.0,25,0.68,73,0.0
1400000,1990,Purvis Short,SF,32,New Jersey Nets,0.0,0.0,248.0,145,66.0,20.0,119.0,202,13.4,0.455,0.28600000000000003,237,0.835,1072,0.0
4200000,1990,Dennis Johnson,PG,35,Boston Celtics,0.0,0.0,201.0,485,81.0,14.0,117.0,179,12.4,0.434,0.042,140,0.843,531,0.0
2400000,1990,Mark Alarie,PF,26,Washington Bullets,0.0,0.0,374.0,142,60.0,39.0,101.0,219,14.1,0.473,0.204,133,0.812,860,0.0
6100000,1990,Mitchell Wiggins,SG,30,Houston Rockets,0.0,0.0,286.0,104,85.0,1.0,87.0,165,16.3,0.488,0.0,237,0.81,1024,0.0
5100000,1990,Michael Cooper,SG,33,Los Angeles Lakers,0.0,0.0,227.0,215,67.0,36.0,91.0,206,9.6,0.387,0.318,94,0.883,515,0.0
700000,1990,Sidney Lowe,PG,30,Minnesota Timberwolves,0.0,0.0,163.0,337,73.0,4.0,63.0,114,8.7,0.319,0.222,54,0.722,187,0.0
2900000,1990,Bill Hanzlik,PF,32,Denver Nuggets,0.0,0.0,207.0,186,78.0,29.0,87.0,249,10.3,0.452,0.19399999999999998,183,0.743,500,0.0
2500000,1990,Harold Pressley,SF,26,Sacramento Kings,0.0,0.0,309.0,149,58.0,36.0,88.0,148,13.7,0.424,0.311,141,0.78,636,0.0
3000000,1990,Darrell Griffith,SG,31,Utah Jazz,0.0,0.0,166.0,63,68.0,19.0,75.0,149,13.6,0.46399999999999997,0.37200000000000005,78,0.654,733,0.0
2000000,1990,Derek Smith,SF,28,Philadelphia 76ers,0.0,0.0,172.0,109,35.0,20.0,85.0,198,13.7,0.508,0.444,186,0.6990000000000001,668,0.0
700000,1990,Larry Drew,PG,31,Los Angeles Lakers,0.0,0.0,98.0,217,47.0,4.0,95.0,92,10.2,0.444,0.395,60,0.767,418,0.0
3800000,1990,Adrian Dantley,SF,33,Dallas Mavericks,0.0,0.0,172.0,80,20.0,7.0,75.0,99,15.4,0.47700000000000004,0.0,254,0.787,662,0.0
600000,1990,Jim Paxson,PG,32,Boston Celtics,0.0,0.0,77.0,137,33.0,5.0,54.0,115,9.7,0.45299999999999996,0.25,90,0.8109999999999999,460,0.0
700000,1990,Tim Kempton,PF,26,Denver Nuggets,0.0,0.0,218.0,118,30.0,9.0,80.0,144,10.7,0.49,0.0,114,0.675,383,0.0
1000000,1990,Scott Roth,SF,26,Minnesota Timberwolves,0.0,0.0,112.0,115,51.0,6.0,85.0,144,11.7,0.379,0.34600000000000003,201,0.746,486,0.0
900000,1990,Mike Woodson,SG,31,Houston Rockets,0.0,0.0,88.0,66,42.0,11.0,49.0,100,8.8,0.395,0.293,86,0.721,394,0.0
700000,1990,Eddie Hughes,PG,29,Denver Nuggets,0.0,0.0,70.0,116,48.0,1.0,39.0,87,8.3,0.41100000000000003,0.408,34,0.6759999999999999,209,0.0
700000,1990,Caldwell Jones,PF,39,San Antonio Spurs,0.0,0.0,230.0,20,20.0,27.0,48.0,146,7.2,0.465,0.2,54,0.7040000000000001,173,0.0
700000,1990,Melvin Turpin,C,29,Washington Bullets,0.0,0.0,221.0,27,15.0,47.0,45.0,135,12.8,0.526,0.0,71,0.789,276,0.0
2100000,1990,Roy Hinson,PF,28,New Jersey Nets,0.0,0.0,172.0,22,14.0,27.0,52.0,87,15.2,0.507,0.0,99,0.8690000000000001,376,0.0
700000,1990,Eric Leckner,C,23,Utah Jazz,0.0,0.0,192.0,19,15.0,23.0,63.0,157,12.1,0.563,0.0,109,0.743,331,0.0
1200000,1990,T.R. Dunn,SF,34,Denver Nuggets,0.0,0.0,138.0,43,41.0,4.0,19.0,67,9.8,0.45399999999999996,0.0,39,0.667,114,0.0
700000,1990,Richard Anderson,PF,29,Charlotte Hornets,0.0,0.0,127.0,55,20.0,9.0,26.0,64,13.3,0.41700000000000004,0.37,23,0.7829999999999999,231,0.0
800000,1990,Bob Thornton,PF,27,Philadelphia 76ers,0.0,0.0,133.0,17,20.0,12.0,35.0,105,6.1,0.429,0.33299999999999996,51,0.51,123,0.0
700000,1990,Brad Sellers,PF,27,Minnesota Timberwolves,0.0,0.0,19.0,1,6.0,3.0,12.0,11,6.0,0.33899999999999997,0.0,12,0.75,47,0.0
700000,1990,Johnny Moore,PG,31,San Antonio Spurs,0.0,0.0,52.0,82,32.0,3.0,39.0,55,8.1,0.373,0.235,27,0.593,118,0.0
600000,1990,Derrick Chievous,SF,22,Cleveland Cavaliers,0.0,0.0,15.0,4,3.0,1.0,5.0,11,11.9,0.35700000000000004,0.0,24,0.792,49,0.0
600000,1990,Michael Young,SF,29,Los Angeles Clippers,0.0,0.0,86.0,24,25.0,3.0,15.0,47,16.0,0.474,0.308,38,0.711,219,0.0
800000,1990,Jim Farmer,SG,25,Seattle Supersonics,0.0,0.0,43.0,25,17.0,1.0,27.0,44,15.5,0.43799999999999994,0.29600000000000004,80,0.713,243,0.0
600000,1990,Derrick Gervin,PF,26,New Jersey Nets,0.0,0.0,65.0,8,20.0,7.0,12.0,47,22.9,0.47200000000000003,0.0,89,0.73,251,0.0
700000,1990,Steve Alford,PG,25,Dallas Mavericks,0.0,0.0,25.0,39,15.0,3.0,16.0,22,18.7,0.457,0.318,37,0.946,168,0.0
2000000,1990,Mike McGee,SF,30,Phoenix Suns,0.0,0.0,36.0,16,8.0,1.0,14.0,28,9.8,0.483,0.348,21,0.47600000000000003,102,0.0
700000,1990,Jay Vincent,SF,30,Los Angeles Lakers,0.0,0.0,26.0,10,8.0,3.0,19.0,29,10.2,0.526,0.0,12,0.667,90,0.0
800000,1990,Steve Johnson,C,32,Seattle Supersonics,0.0,0.0,50.0,16,3.0,5.0,25.0,52,11.8,0.5329999999999999,0.0,35,0.6,117,0.0
700000,1990,Calvin Natt,SF,33,Indiana Pacers,0.0,0.0,35.0,9,1.0,0.0,5.0,14,14.4,0.645,0.0,22,0.773,57,0.0
800000,1990,Jose Ortiz,PF,26,Utah Jazz,0.0,0.0,15.0,7,2.0,1.0,5.0,15,16.0,0.452,0.5,5,0.6,42,0.0
800000,1990,Stan Kimbrough,PG,23,Detroit Pistons,1.0,0.0,7.0,5,4.0,0.0,4.0,4,12.1,0.43799999999999994,0.0,2,1.0,16,1.0
1000000,1990,Mike Higgins,SF,22,Denver Nuggets,0.0,0.0,3.0,2,1.0,0.0,1.0,1,12.9,0.375,0.0,8,0.875,13,0.0
5300000,1991,Reggie Theus,SG,33,New Jersey Nets,0.0,0.0,229.0,378,85.0,35.0,252.0,231,14.2,0.46799999999999997,0.361,343,0.851,1510,0.0
1700000,1991,Rory Sparrow,PG,32,Sacramento Kings,0.0,0.0,186.0,362,83.0,16.0,126.0,189,12.4,0.491,0.397,83,0.6990000000000001,831,0.0
3300000,1991,Travis Mays,PG,22,Sacramento Kings,0.0,0.0,178.0,253,81.0,11.0,159.0,169,12.3,0.406,0.365,331,0.77,915,0.0
4700000,1991,Jack Sikma,C,35,Milwaukee Bucks,0.0,0.0,441.0,143,65.0,64.0,130.0,218,13.7,0.42700000000000005,0.341,197,0.843,802,0.0
6300000,1991,Otis Smith,SF,27,Orlando Magic,0.0,0.0,389.0,169,85.0,35.0,140.0,190,17.2,0.451,0.196,301,0.7340000000000001,1044,0.0
3500000,1991,Darnell Valentine,PG,31,Cleveland Cavaliers,0.0,0.0,172.0,351,98.0,12.0,126.0,170,13.5,0.46399999999999997,0.24,172,0.831,609,0.0
700000,1991,Alex English,SF,37,Dallas Mavericks,0.0,0.0,254.0,105,40.0,25.0,101.0,141,12.2,0.439,0.0,140,0.85,763,0.0
1000000,1991,Billy Thompson,SF,27,Miami Heat,0.0,0.0,312.0,111,32.0,48.0,117.0,161,11.3,0.499,0.0,124,0.718,499,0.0
1000000,1991,A.J. English,SG,23,Washington Bullets,0.0,0.0,147.0,177,25.0,15.0,114.0,127,10.6,0.439,0.09699999999999999,157,0.7070000000000001,616,0.0
700000,1991,Brad Davis,PG,35,Dallas Mavericks,0.0,0.0,118.0,230,45.0,17.0,77.0,212,10.3,0.426,0.259,118,0.7709999999999999,431,0.0
900000,1991,Andre Turner,PG,26,Philadelphia 76ers,0.0,0.0,152.0,311,63.0,0.0,95.0,124,12.8,0.439,0.364,87,0.736,412,0.0
700000,1991,Jeff Martin,PG,24,Los Angeles Clippers,0.0,0.0,131.0,65,37.0,31.0,49.0,104,10.0,0.42200000000000004,0.307,100,0.68,523,0.0
800000,1991,Kelly Tripucka,SF,31,Charlotte Hornets,0.0,0.0,176.0,159,33.0,13.0,92.0,130,13.5,0.45399999999999996,0.33299999999999996,167,0.91,541,0.0
600000,1991,John Morton,SF,23,Cleveland Cavaliers,0.0,0.0,103.0,243,61.0,18.0,107.0,112,12.2,0.43799999999999994,0.33299999999999996,139,0.813,357,0.0
1000000,1991,Anthony Cook,PF,23,Denver Nuggets,0.0,0.0,326.0,26,35.0,72.0,50.0,100,10.7,0.41700000000000004,0.0,129,0.55,307,0.0
1500000,1991,Sidney Moncrief,SG,33,Atlanta Hawks,0.0,0.0,128.0,104,50.0,9.0,66.0,112,11.2,0.488,0.32799999999999996,105,0.7809999999999999,337,0.0
1000000,1991,Mychal Thompson,C,36,Los Angeles Lakers,0.0,1.0,228.0,21,23.0,23.0,47.0,112,9.6,0.496,0.0,88,0.705,288,1.0
700000,1991,Tod Murphy,PF,27,Minnesota Timberwolves,0.0,0.0,255.0,60,25.0,20.0,32.0,101,10.6,0.396,0.059000000000000004,105,0.667,251,0.0
600000,1991,Greg Dreiling,C,28,Indiana Pacers,0.0,0.0,255.0,51,24.0,29.0,57.0,178,8.7,0.505,0.0,105,0.6,259,0.0
1500000,1991,Dave Greenwood,PF,33,San Antonio Spurs,0.0,0.0,221.0,52,29.0,25.0,71.0,172,7.8,0.503,0.0,94,0.7340000000000001,239,0.0
1100000,1991,Michael Ansley,SF,23,Orlando Magic,0.0,0.0,253.0,25,27.0,7.0,32.0,125,16.9,0.5479999999999999,0.0,127,0.7170000000000001,379,0.0
700000,1991,Tim McCormick,C,28,Atlanta Hawks,0.0,0.0,165.0,32,11.0,14.0,45.0,91,11.9,0.49700000000000005,0.0,90,0.733,252,0.0
2300000,1991,Kenny Battle,SG,26,Denver Nuggets,0.0,0.0,123.0,47,41.0,12.0,36.0,83,12.3,0.485,0.136,64,0.7809999999999999,243,0.0
700000,1991,William Bedford,C,27,Detroit Pistons,0.0,0.0,131.0,32,2.0,36.0,32.0,76,15.5,0.43799999999999994,0.385,78,0.705,272,0.0
600000,1991,Kelvin Upshaw,SG,28,Dallas Mavericks,0.0,0.0,55.0,86,28.0,5.0,39.0,77,17.2,0.45,0.24100000000000002,64,0.8590000000000001,270,0.0
600000,1991,Andy Toolson,SF,25,Utah Jazz,0.0,0.0,67.0,31,14.0,2.0,24.0,58,8.4,0.40299999999999997,0.375,33,0.758,137,0.0
800000,1991,Byron Irvin,SG,24,Washington Bullets,0.0,0.0,45.0,24,15.0,2.0,16.0,32,17.5,0.465,0.2,61,0.82,171,0.0
700000,1991,John Long,SG,34,Detroit Pistons,0.0,0.0,32.0,18,9.0,2.0,14.0,17,11.9,0.41200000000000003,0.33299999999999996,25,0.96,96,0.0
800000,1991,Leon Wood,SG,28,Sacramento Kings,0.0,0.0,19.0,49,5.0,0.0,12.0,10,15.4,0.397,0.316,21,0.905,81,0.0
700000,1991,Scott Hastings,PF,30,Detroit Pistons,0.0,0.0,28.0,7,0.0,0.0,7.0,23,15.8,0.5710000000000001,0.75,13,1.0,48,0.0
4300000,1992,Terry Catledge,PF,28,Orlando Magic,0.0,0.0,549.0,109,58.0,16.0,138.0,196,15.2,0.496,0.0,346,0.6940000000000001,1154,0.0
1400000,1992,Blair Rasmussen,C,29,Atlanta Hawks,0.0,0.0,393.0,107,35.0,48.0,51.0,233,11.6,0.478,0.217,40,0.75,729,0.0
1500000,1992,John Bagley,PG,31,Boston Celtics,0.0,0.0,161.0,480,57.0,4.0,148.0,123,12.7,0.441,0.23800000000000002,95,0.716,524,0.0
20400000,1992,Larry Bird,SF,35,Boston Celtics,0.0,0.0,434.0,306,42.0,33.0,125.0,82,21.0,0.466,0.406,162,0.9259999999999999,908,0.0
600000,1992,Terry Teagle,SG,31,Los Angeles Lakers,0.0,0.0,183.0,113,66.0,9.0,114.0,148,14.5,0.452,0.25,197,0.7659999999999999,880,0.0
4600000,1992,Alexander Volkov,C,27,Atlanta Hawks,0.0,0.0,265.0,250,66.0,30.0,102.0,178,15.5,0.441,0.318,198,0.631,662,0.0
800000,1992,Greg Kite,C,30,Orlando Magic,0.0,0.0,402.0,44,30.0,57.0,61.0,212,7.7,0.43700000000000006,0.0,68,0.588,228,0.0
600000,1992,James Edwards,C,36,Los Angeles Clippers,0.0,0.0,202.0,53,24.0,33.0,72.0,236,11.7,0.465,0.0,271,0.731,698,0.0
1700000,1992,Vinnie Johnson,SG,35,San Antonio Spurs,0.0,0.0,182.0,145,41.0,14.0,74.0,93,10.4,0.405,0.317,85,0.647,478,0.0
1100000,1992,Dennis Hopson,SG,26,Sacramento Kings,1.0,0.0,206.0,102,66.0,39.0,100.0,113,17.2,0.465,0.255,253,0.708,741,1.0
1400000,1992,Randy Breuer,C,31,Minnesota Timberwolves,0.0,0.0,281.0,89,27.0,99.0,41.0,117,14.3,0.46799999999999997,0.0,77,0.532,363,0.0
1500000,1992,Jerry Reynolds,SG,29,Orlando Magic,0.0,0.0,149.0,151,63.0,17.0,96.0,69,13.9,0.38,0.125,189,0.836,555,0.0
700000,1992,Donald Hodge,PF,22,Dallas Mavericks,0.0,0.0,275.0,39,25.0,23.0,75.0,128,13.8,0.49700000000000005,0.0,150,0.667,426,0.0
900000,1992,Sam Vincent,PG,28,Orlando Magic,0.0,0.0,101.0,148,35.0,4.0,72.0,55,14.6,0.43,0.077,130,0.846,411,0.0
700000,1992,Anthony Frederick,SF,27,Charlotte Hornets,0.0,0.0,144.0,71,40.0,26.0,58.0,91,13.0,0.435,0.235,92,0.685,389,0.0
800000,1992,Greg Grant,PG,25,Philadelphia 76ers,0.0,0.0,65.0,199,37.0,2.0,41.0,73,13.3,0.456,0.389,22,0.8640000000000001,224,0.0
600000,1992,Winston Bennett,SF,26,Miami Heat,0.0,0.0,1.0,0,0.0,0.0,0.0,1,29.9,0.5,0.0,0,0.0,2,0.0
700000,1992,Bob Hansen,SG,31,Chicago Bulls,1.0,0.0,73.0,68,26.0,3.0,28.0,128,5.8,0.444,0.28,22,0.364,165,1.0
900000,1992,Walter Davis,SF,37,Denver Nuggets,0.0,0.0,70.0,68,29.0,1.0,45.0,69,16.6,0.45899999999999996,0.313,94,0.872,457,0.0
800000,1992,Craig Hodges,SG,31,Chicago Bulls,1.0,0.0,24.0,54,14.0,1.0,22.0,33,10.4,0.384,0.375,17,0.941,238,1.0
1700000,1992,Ed Nealy,PF,31,Phoenix Suns,0.0,0.0,111.0,37,16.0,2.0,17.0,45,12.9,0.512,0.4,24,0.667,160,0.0
700000,1992,Tony Brown,SF,31,Seattle Supersonics,0.0,0.0,56.0,32,18.0,4.0,21.0,51,11.9,0.39399999999999996,0.293,37,0.8109999999999999,168,0.0
1000000,1992,Tom Garrick,SG,25,Dallas Mavericks,0.0,0.0,6.0,17,8.0,0.0,4.0,7,11.3,0.235,0.0,2,1.0,10,0.0
600000,1992,Rickey Green,PG,37,Boston Celtics,0.0,0.0,24.0,68,17.0,1.0,18.0,28,11.4,0.447,0.25,18,0.722,106,0.0
600000,1992,Steve Burtt,SG,29,Phoenix Suns,0.0,0.0,34.0,59,16.0,4.0,33.0,58,13.4,0.46299999999999997,0.16699999999999998,54,0.7040000000000001,187,0.0
1000000,1992,Wayne Cooper,C,35,Portland Trail Blazers,0.0,1.0,101.0,21,4.0,27.0,15.0,57,10.2,0.42700000000000005,0.0,11,0.636,77,1.0
700000,1992,Alton Lister,C,33,Golden State Warriors,0.0,0.0,92.0,14,5.0,16.0,20.0,61,11.2,0.557,0.0,33,0.424,102,0.0
900000,1992,Brian Quinnett,SG,25,Dallas Mavericks,0.0,0.0,27.0,5,9.0,2.0,8.0,11,7.7,0.294,0.2,12,0.667,41,0.0
700000,1992,Lance Blanks,SG,25,Detroit Pistons,0.0,0.0,22.0,19,14.0,1.0,14.0,26,11.9,0.455,0.375,11,0.727,64,0.0
1000000,1992,Jim Petersen,PF,29,Golden State Warriors,0.0,0.0,45.0,9,5.0,6.0,5.0,35,9.5,0.45,0.0,10,0.7,43,0.0
800000,1992,Kevin Pritchard,PG,24,Boston Celtics,0.0,0.0,11.0,30,3.0,4.0,11.0,17,12.6,0.47100000000000003,0.0,18,0.778,46,0.0
600000,1992,Kennard Winchester,SF,25,New York Knicks,0.0,0.0,15.0,8,2.0,2.0,2.0,4,21.4,0.444,0.5,10,0.8,33,0.0
15800000,1993,Reggie Lewis,SG,27,Boston Celtics,0.0,0.0,347.0,298,118.0,77.0,133.0,248,17.4,0.47,0.233,376,0.867,1666,0.0
14600000,1993,Drazen Petrovic,SG,28,New Jersey Nets,0.0,0.0,190.0,247,94.0,13.0,204.0,237,17.3,0.518,0.449,362,0.87,1564,0.0
3100000,1993,James Worthy,SF,31,Los Angeles Lakers,0.0,0.0,247.0,278,92.0,27.0,137.0,87,15.6,0.447,0.27,211,0.81,1221,0.0
3600000,1993,Tom Tolbert,PF,27,Orlando Magic,0.0,0.0,412.0,91,33.0,21.0,124.0,192,10.4,0.498,0.321,168,0.726,583,0.0
700000,1993,Mike Iuzzolino,PG,25,Dallas Mavericks,0.0,0.0,140.0,328,49.0,6.0,129.0,101,12.7,0.462,0.375,149,0.765,610,0.0
1000000,1993,Kevin Duckworth,C,28,Portland Trail Blazers,0.0,0.0,387.0,70,45.0,39.0,87.0,222,11.4,0.43799999999999994,0.0,174,0.73,729,0.0
1500000,1993,Kevin McHale,PF,35,Boston Celtics,0.0,0.0,358.0,73,16.0,59.0,92.0,126,14.4,0.45899999999999996,0.111,195,0.841,762,0.0
1200000,1993,Marcus Liberty,SF,24,Denver Nuggets,0.0,0.0,335.0,105,64.0,21.0,79.0,143,12.5,0.406,0.373,156,0.654,628,0.0
900000,1993,LaBradford Smith,SG,23,Washington Bullets,0.0,0.0,106.0,186,58.0,9.0,103.0,178,10.9,0.45799999999999996,0.348,127,0.858,639,0.0
600000,1993,Bob McCann,SF,28,Minnesota Timberwolves,0.0,0.0,282.0,68,51.0,58.0,79.0,202,10.9,0.488,0.0,152,0.625,495,0.0
1700000,1993,Paul Graham,SG,25,Atlanta Hawks,0.0,0.0,190.0,164,86.0,6.0,120.0,185,12.7,0.457,0.298,131,0.733,650,0.0
700000,1993,Randy White,PF,25,Dallas Mavericks,0.0,0.0,370.0,49,63.0,45.0,108.0,226,13.2,0.435,0.23800000000000002,184,0.75,618,0.0
700000,1993,Buck Johnson,SF,29,Washington Bullets,0.0,0.0,195.0,89,36.0,18.0,70.0,187,10.7,0.479,0.0,126,0.73,478,0.0
2900000,1993,Mike Sanders,SF,32,Cleveland Cavaliers,0.0,0.0,170.0,75,39.0,30.0,57.0,150,11.8,0.49700000000000005,0.25,78,0.7559999999999999,454,0.0
600000,1993,Alaa Abdelnaby,PF,24,Boston Celtics,0.0,0.0,300.0,17,19.0,22.0,84.0,165,13.4,0.525,0.0,100,0.76,514,0.0
1900000,1993,Mark Eaton,C,36,Utah Jazz,0.0,0.0,264.0,17,18.0,79.0,43.0,143,8.7,0.546,0.0,50,0.7,177,0.0
700000,1993,Rick Mahorn,PF,34,New Jersey Nets,0.0,0.0,279.0,33,19.0,31.0,58.0,156,10.3,0.47200000000000003,0.33299999999999996,110,0.8,291,0.0
600000,1993,Rodney McCray,SF,31,Chicago Bulls,1.0,0.0,158.0,81,12.0,15.0,53.0,99,7.6,0.451,0.4,52,0.6920000000000001,222,1.0
1600000,1993,Trent Tucker,SG,33,Chicago Bulls,1.0,0.0,71.0,82,24.0,6.0,18.0,65,14.1,0.485,0.397,22,0.818,356,1.0
