Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
4700000,1979,John Gianelli,C,28,Milwaukee Bucks,0.0,0.0,408.0,160,44.0,57.0,106.0,196,10.3,0.486,0.0,102,0.706,584,0.0
3700000,1979,Charles Johnson,SG,29,Washington Bullets,0.0,1.0,202.0,177,95.0,6.0,87.0,161,12.0,0.435,0.0,79,0.848,751,1.0
700000,1979,John Mengelt,SG,29,Chicago Bulls,0.0,0.0,118.0,187,46.0,4.0,120.0,148,13.2,0.491,0.0,182,0.8240000000000001,826,0.0
2400000,1979,Lou Hudson,SG,34,Los Angeles Lakers,0.0,0.0,140.0,141,58.0,17.0,99.0,133,13.7,0.517,0.0,124,0.887,768,0.0
800000,1979,Tim Bassett,PF,27,New Jersey Nets,0.0,0.0,418.0,99,44.0,29.0,103.0,219,8.0,0.371,0.0,131,0.679,321,0.0
700000,1979,Aaron James,SF,26,New Orleans Jazz,0.0,0.0,248.0,78,28.0,21.0,111.0,202,12.7,0.494,0.0,140,0.75,727,0.0
600000,1979,Earl Monroe,SG,34,New York Knicks,0.0,0.0,74.0,189,48.0,6.0,98.0,123,15.4,0.47100000000000003,0.0,154,0.838,787,0.0
900000,1979,Corky Calhoun,SF,28,Indiana Pacers,0.0,0.0,238.0,104,37.0,19.0,56.0,189,9.9,0.457,0.0,86,0.8370000000000001,378,0.0
600000,1979,Bob Nash,SF,28,Kansas City Kings,0.0,0.0,206.0,71,29.0,15.0,82.0,135,9.6,0.435,0.0,86,0.802,523,0.0
900000,1979,Nate Williams,SG,28,Golden State Warriors,0.0,0.0,207.0,61,55.0,5.0,93.0,169,14.7,0.501,0.0,117,0.872,670,0.0
600000,1979,John Brown,SF,27,Chicago Bulls,0.0,0.0,238.0,104,18.0,10.0,89.0,180,9.4,0.479,0.0,98,0.857,388,0.0
1800000,1979,Bayard Forrest,C,24,Phoenix Suns,0.0,0.0,315.0,167,29.0,37.0,107.0,151,9.6,0.434,0.0,115,0.539,298,0.0
